startdate,enddate,uid_r,text,gods_involved
05-13,05-13,V191-1,5/13: Sima shengwang 司马圣王 is celebrated with opera and Daoist rites.,['Sima shengwang']
10-20,10-20,V191-2,10/20: Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 are celebrated with opera and Daoist rites.,"['Houtu furen', 'Zunzhu mingwang']"
03-03,03-03,V192-1,On 3/3 Xuantian shangdi 玄天上帝 is celebrated with opera and Daoist rites.,['Xuantian shangdi']
07-16,07-16,V192-2,On 7/16 the Sanyi jiaozhu 三一教主 is celebrated with opera and Three in One rituals.,['Sanyi jiaozhu']
04-01,04-01,V193-1,"4/1: Yanggong taishi of Fengshangong 凤山宫杨公太师 goes on procession through the Tangxia thirteen village alliance 塘下十三乡, and stays in the village in the Fangtang zushê 方塘祖社 and the Houan huangshê 后安黄社接驾. Opera is performed for two days.",['Yanggong taishi']
08-23,08-23,V193-2,"8/23: Celebrations for the Zunzun mingwang 尊主明王, Houtu furen 后土夫人, and Tiangong yuanshuai 田公元帅 of Qianlongshê 前隆社. Opera is performed for two days. This event is organized by the Huang 黄.","['Houtu furen', 'Tiangong', 'Tiangong yuanshuai']"
10-16,10-16,V193-3,10/16: Celebrations for the Zunzun mingwang 尊主明王 and Houtu furen 后土夫人 of Fangtang zushê 方塘祖社. Opera is performed for two days. This event is organized by the Fang 方.,['Houtu furen']
11-01,11-01,V193-4,11/1: Celebrations for the Zunzun mingwang 尊主明王 and Houtu furen 后土夫人 of Houan huangshê 后安黄社. Opera is performed for two days. This event is organized by the Huang 黄.,['Houtu furen']
12-17,12-17,V193-5,12/17: Celebrations for Jindaren 金大人 of Weilonggong 威龙宫. Marionette plays are peformed. This event is organized by the Huang.,[]
12-23,12-23,V193-6,12/23: Celebrations for the Zunzun mingwang 尊主明王 and Houtu furen 后土夫人 of Zhongxing fanshê 仲兴范社. Opera is performed for two days. This event is organized by the Fan 范.,['Houtu furen']
03-03,03-03,V194-1,"3/3: The birthday celebration of Xuantian shangdi 玄天上帝. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.",['Xuantian shangdi']
10-25,10-25,V194-2,"10/25: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
03-03,03-03,V195-1,3/3: The birthday celebration of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
04-18,04-18,V195-2,4/18: The birthday celebration of Zhaoshun shenghou 肇顺圣侯.,[]
08-25,08-25,V195-3,"8/25: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On all these occasions, opera is performed and Daoist ritual masters are invited to conduct rituals. The entire village organizes the ritual together, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
03-13,03-13,V196-1,"3/13: The birthday celebration of Wu daren 武大人. Marionette plays are performed and Daoist ritual masters are invited to conduct rituals. This celebration is organized by the Tongminggong 通明宫, and funding is raised through voluntary contributions.",['Wu daren']
03-23,03-23,V196-2,"3/23: The birthday celebration of Tianshang shengmu 天上圣母. Opera is performed and Daoist ritual masters are invited to conduct rituals. This celebration organized by the Liu 刘, and funds are collected on a per capita basis.",['Tianshang shengmu']
07-07,07-07,V196-3,"7/7: The birthday celebration of Huang daren 黄大人. Marionette plays are performed and Daoist ritual masters are invited to conduct rituals. This celebration is organized by Tongming gong 通明宫, and funding is raised through voluntary contributions.",['Huang daren']
09-06,09-06,V196-4,"9/6: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人of Xisheng zushê 西胜祖社. Opera is performed and Daoist ritual masters are invited to conduct rituals. This celebration is organized by the Liu 刘, and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
11-13,11-13,V196-5,"11/13: The birthday celebration of Song daren 宋大人. Marionette plays are performed and Daoist ritual masters are invited to conduct rituals. These events are organized by Tongminggong 通明宫, and funding is raised through voluntary contributions.",['Song daren']
03-03,03-03,V197-1,"3/3: The birthday celebration of Xuantian shangdi 玄天上帝. Opera is performed, and divination blocks are cast to determine the date of a procession of the god through the Lantian eighteen village alliance.",['Xuantian shangdi']
03-23,03-23,V197-2,3/23: The birthday celebration of Tianshang shengmu 天上圣母. Opera is performed.,['Tianshang shengmu']
08-15,08-15,V197-3,"8/15: The birthday celebration of the Zunzhu mingwang 尊主明王 and the Houtu furen 后土夫人 of both the Yongan shangshê 永安上社 and the Yongan zhongshê 中社. Opera is peformed, and the two shê together celebrated the autumn rites 做秋.","['Houtu furen', 'Zunzhu mingwang']"
10-23,10-23,V197-4,10/23: The birthday celebration of Lieqiao daren 烈窍大人. Opera is performed and a single Daoist master is invited to conduct rituals.,[]
08-19,08-19,V198-1,8/19: The birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土 夫人. Opera is performed for two days.,"['Houtu furen', 'Zunzhu mingwang']"
07-16,07-16,V199-1,"7/16: The celebration of Sanyi jiaozhu 三一教主. Opera is peformed, and the event is organized by the village as a whole. Funds are raised on a per capita basis.",['Sanyi jiaozhu']
08-19,08-19,V199-2,8/19: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is organized by the Huang 黄 and the Chen 陈. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
08-28,08-28,V199-3,8/28: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is organized by the Kuokou 阔口 Chen 陈. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
10-19,10-20,V199-4,10/19–20: The rites of Xiayuan pudu 下元普度 Universal Deliverance are performed. Marionettes perform the Mulian 目连 plays. A single Daoist master from Danjing 丹井 village is invited to recite scriptures. This is organized by the Donghu Chen 东湖陈.,[]
03-03,03-03,V200-1,3/3: The birthday of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
04-26,04-26,V200-2,4/26: The birthday of Yanggong taishi 杨公太师 7/16: The feast day of Sanyi jiaozhu 三一教主.,"['Sanyi jiaozhu', 'Yanggong taishi']"
10-15,10-15,V200-3,"10/15: The birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土 夫人. On all these occasions, opera is performed and Daoist masters or Three in One scripture masters are invited to conduct rituals. The event is organized by the village as a whole, and funds are raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V201-1,3/23: The birthday of Tianshang shengmu 天上圣母. Opera is performed for two days.,['Tianshang shengmu']
03-03,03-03,V202-1,3/3: The birthday celebration of the Lantian Yongangong Xuantian shangdi 蓝田永安宫玄天上帝. The gods are invited to watch the opera performances.,['Xuantian shangdi']
04-26,04-26,V202-2,4/26: The birthday celebration of Yanggong taishi 杨公太师. Marionette plays are performed.,['Yanggong taishi']
08-10,08-10,V202-3,8/10: The celebration for Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed for two days.,"['Houtu furen', 'Zunzhu mingwang']"
06-01,06-01,V203-1,6/1: The birthday of Lin xiangu 林仙姑. Opera is performed.,[]
09-12,09-12,V203-2,9/12: The birthday of Huang er dashen 黄二大神. Opera is performed.,[]
09-15,09-15,V203-3,9/15: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
10-15,10-15,V203-4,"10/15: The rites of Xiayuan pudu 下元普度 Universal Deliverance are performed, and the village participates in the procession of the gods of Wufeng 五峰.",[]
03-03,03-03,V204-1,3/3: The birthday celebration of Xuantian shangdi 玄天上帝 is organized by Liucuo 刘厝. Opera is performed.,['Xuantian shangdi']
07-23,07-23,V204-2,7/23: The birthday celebration of Zhanggong shengjun 张公圣君 is organized by Zacuo 杂厝. Opera is performed.,['Zhanggong shengjun']
03-03,03-03,V205-1,"3/3: The birthday celebration of Xuantian shangdi 玄天上帝. Each time the Xuantian shangdi of Lantian 蓝田 goes on procession, the god is received in the village temple. Opera is performed.",['Xuantian shangdi']
09-09,09-09,V205-2,9/9: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
03-01,03-01,V206-1,3/1: The celebration of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
04-10,04-10,V206-2,4/10: The celebration of Tiangong yuanshuai 田公元帅.,"['Tiangong', 'Tiangong yuanshuai']"
08-15,08-15,V206-3,8/15: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed and the autumn rites are held 做秋.,"['Houtu furen', 'Zunzhu mingwang']"
09-19,09-19,V206-4,"9/19: The celebration of Guanyin dashi 观音大士. On all these occasions, opera is performed and rituals are conducted by Daoist masters or Three in One scripture masters.","['Guanyin', 'Guanyin dashi']"
04-26,04-26,V207-1,4/26: The birthday celebration of Yanggong taishi 杨公太师. Opera is performed.,['Yanggong taishi']
06-23,06-23,V207-2,6/23: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
09-23,09-23,V207-3,9/23: The birthday celebration of Wu daren 乌大人. Opera is performed.,['Wu daren']
10-26,10-26,V207-4,10/26: The rites of Xiayuan pudu 下元普度 Universal Deliverance are performed.,[]
07-16,07-16,V208-1,7/16: The celebration of Sanyi jiaozhu 三一教主. Marionette plays are performed and three Three in One scripture masters conduct a jiao ritual 做醮.,['Sanyi jiaozhu']
08-12,08-12,V208-2,8/12: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Marionette plays are performed.,"['Houtu furen', 'Zunzhu mingwang']"
08-25,08-25,V208-3,"8/25: Rites are held to welcome the autumn season 做秋, and opera is performed.",[]
09-19,09-19,V208-4,9/19: The feastday of Guanyin dashi 观音大士. Marionette plays are performed.,"['Guanyin', 'Guanyin dashi']"
05-13,05-13,V209-1,"5/13: The celebration of Sima shengwang 司马圣王 is held, and opera is performed",['Sima shengwang']
06-19,06-19,V210-1,6/19: The celebration of Guanyin dashi 观音大士. Marionette plays are performed.,"['Guanyin', 'Guanyin dashi']"
09-07,09-07,V210-2,9/7: The celebration of Zhongtian dasheng 中天大圣. Opera is performed.,['Zhongtian dasheng']
09-19,09-19,V210-3,9/19: The celebration of Guanyin dashi 观音大士. Marionette plays are performed.,"['Guanyin', 'Guanyin dashi']"
05-13,05-13,V211-1,5/13: The celebration of Sima shengwang 司马圣王. Marionette plays are performed.,['Sima shengwang']
07-23,07-23,V211-2,7/23: The celebration of Zhanggong shengjun 张公圣君. Marionette plays are performed.,['Zhanggong shengjun']
08-12,08-12,V211-3,8/12: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Marionette plays are performed.,"['Houtu furen', 'Zunzhu mingwang']"
09-09,09-09,V211-4,"9/9: The celebration of Dutian yuanshuai 都天元帅. Opera is performed for two or three days, and Daoist masters are invited to hold a jiao ritual 做醮.",['Dutian yuanshuai']
04-08,04-08,V212-1,4/8: The celebration of Tiangong yuanshuai 田公元帅 is held. Opera is performed.,"['Tiangong', 'Tiangong yuanshuai']"
03-03,03-03,V213-1,"3/3: The birthday celebration of Xuantian shangdi 玄天上帝. Opera is performed, and the celebration is organized by the management committee of the Jurengong 聚仁宫.",['Xuantian shangdi']
05-05,05-05,V213-2,"5/5: The birthday celebration of Wanglingguan 王灵宫. Opera is performed, and the celebration is organized by the management committee of the Jurengong 聚仁宫.",[]
05-13,05-13,V214-1,5/13: The celebration for Sima shengwang 司马圣王. Opera is performed.,['Sima shengwang']
07-21,07-21,V214-2,7/21: The celebration for Zhanggong shengwang 张公圣君. Opera is performed.,[]
08-13,08-13,V214-3,8/13: The celebration for Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
02-08,02-08,V215-1,"2/8: The initial offering 首供 is held, and marionette plays are performed.",[]
04-26,04-26,V215-2,4/26: The celebration of Yanggong taishi 杨公太师. Opera is performed.,['Yanggong taishi']
05-14,05-14,V215-3,5/14: The celebration of Buddhist nun Yagu is held 亚姑 and opera is performed.,[]
07-16,07-16,V215-4,7/16: The celebration of Sanyi jiaozhu 三一教主 is held and opera is performed.,['Sanyi jiaozhu']
09-09,09-09,V215-5,9/9: The celebration of Yang jiuniang 杨九娘 is held and opera is performed.,['Yang jiuniang']
